"","id","title","date","loc","loc_clean","loc_geo","lat","lon"
"1","1","Kim Jong Un Visits Paektusan Institute of Architecture ","  2017-03-11","Paektusan Institute of Architecture","Paektusan Institute of Architecture","Pyongyang, North Korea","39.0392193","125.7625241"
"2","2","Kim Jong Un Supervises Ballistic Rocket Launching Drill of Hwasong Artillery Units of KPA Strategic Force ","  2017-03-07","Kim Jong Un Supervises Ballistic Rocket Launching Drill of Hwasong Artillery Units of KPA Strategic Force","Missile Test Site","?",NA,NA
"3","3","Kim Jong Un Plants Trees with Students of Mangyongdae Revolutionary School ","  2017-03-03","Kim Jong Un Plants Trees with Students of Mangyongdae Revolutionary School","Mangyongdae Revolutionary School","Pyongyang, North Korea","39.0392193","125.7625241"
"4","4","Kim Jong Un Inspects Headquarters of Large Combined Unit of KPA ","  2017-03-01","Headquarters of Large Combined Unit of KPA","Army Headquarters","?",NA,NA
"5","5","Kim Jong Un Watches Performance of State Merited Chorus ","  2017-02-23","Kim Jong Un Watches Performance of State Merited Chorus","People's Theater","Pyongyang, North Korea","39.0392193","125.7625241"
"6","6","Kim Jong Un Visits Samchon Catfish Farm ","  2017-02-21","Samchon Catfish Farm","Samchon Catfish Farm","South Hwanghae, North Korea","38.2007215","125.4781926"
"7","8","Kim Jong Un Visits Kumsusan Palace of Sun ","  2017-02-16","Kumsusan Palace of Sun","Kumsusan Palace of Sun","Pyongyang, North Korea","39.0392193","125.7625241"
"8","9","Kim Jong Un Guides Test-fire of Surface-to-Surface Medium Long-range Ballistic Missile ","  2017-02-13","Kim Jong Un Guides Test-fire of Surface-to-Surface Medium Long-range Ballistic Missile","Missile Test Site","?",NA,NA
"9","10","Kim Jong Un Visits Kangdong Precision Machine Plant ","  2017-02-07","Kangdong Precision Machine Plant","Kangdong Precision Machine Plant","Kangdong, Pyongyang, North Korea","39.1429891","126.0889511"
"10","11","Kim Jong Un Inspects Newly Built Pyongyang Orphans' Primary School ","  2017-02-02"," Pyongyang Orphans' Primary School","Pyongyang Orphans' Primary School","Pyongyang, North Korea","39.0392193","125.7625241"
"11","12","Kim Jong Un Guides Winter River-crossing Attack Tactical Drill ","  2017-01-28","Kim Jong Un Guides Winter River-crossing Attack Tactical Drill","Army Base","?",NA,NA
"12","13","Kim Jong Un Inspects Ryomyong Street under Construction ","  2017-01-26","Ryomyong Street ","Ryomyong Street ","Pyongyang, North Korea","39.0392193","125.7625241"
"13","14","Kim Jong Un Visits Bier of Kang Ki Sop ","  2017-01-23","Bier of Kang Ki Sop","Bier of Kang Ki Sop","?",NA,NA
"14","15","Kim Jong Un Inspects KPA Unit 1314 ","  2017-01-23","KPA Unit 1314","Army Base","?",NA,NA
"15","16","Kim Jong Un Inspects KPA Sub-unit ","  2017-01-19","KPA Sub-unit","Army Base","?",NA,NA
"16","17","Kim Jong Un Visits Newly-Built Kumsanpho Fish Pickling Factory and Kumsanpho Fishery Station ","  2017-01-16"," Kumsanpho Fish Pickling Factory and Kumsanpho Fishery Station","Kumsanpho Fish Pickling Factory and Kumsanpho Fishery Station","Kumsanpo, North Korea",NA,NA
"17","18","Kim Jong Un Provides Field Guidance to Ryugyong Kimchi Factory ","  2017-01-12","Ryugyong Kimchi Factory","Ryugyong Kimchi Factory","?",NA,NA
