"","date","date_id","article_link","pic_link"
"1",2016-01-02,"2016-01-02-0001","index.php?strPageID=SF01_02_01&newsID=2016-01-02-0001","index.php?strPageID=SF01_02_02&newsID=2016-01-02-0001_photo"
"2",2016-01-05,"2016-01-05-0021","index.php?strPageID=SF01_02_01&newsID=2016-01-05-0021","index.php?strPageID=SF01_02_02&newsID=2016-01-05-0021_photo"
"3",2016-01-11,"2016-01-11-0025","index.php?strPageID=SF01_02_01&newsID=2016-01-11-0025","index.php?strPageID=SF01_02_02&newsID=2016-01-11-0025_photo"
"4",2016-01-20,"2016-01-20-0001","index.php?strPageID=SF01_02_01&newsID=2016-01-20-0001","index.php?strPageID=SF01_02_02&newsID=2016-01-20-0001_photo"
"5",2016-01-23,"2016-01-23-0016","index.php?strPageID=SF01_02_01&newsID=2016-01-23-0016","index.php?strPageID=SF01_02_02&newsID=2016-01-23-0016_photo"
"6",2016-01-28,"2016-01-28-0001","index.php?strPageID=SF01_02_01&newsID=2016-01-28-0001","index.php?strPageID=SF01_02_02&newsID=2016-01-28-0001_photo"
"7",2016-02-17,"2016-02-17-0001","index.php?strPageID=SF01_02_01&newsID=2016-02-17-0001","index.php?strPageID=SF01_02_02&newsID=2016-02-17-0001_photo"
"8",2016-02-22,"2016-02-22-0002","index.php?strPageID=SF01_02_01&newsID=2016-02-22-0002","index.php?strPageID=SF01_02_02&newsID=2016-02-22-0002_photo"
"9",2016-02-22,"2016-02-22-0001","index.php?strPageID=SF01_02_01&newsID=2016-02-22-0001","index.php?strPageID=SF01_02_02&newsID=2016-02-22-0001_photo"
"10",2016-02-23,"2016-02-23-0021","index.php?strPageID=SF01_02_01&newsID=2016-02-23-0021","index.php?strPageID=SF01_02_02&newsID=2016-02-23-0021_photo"
"11",2016-02-27,"2016-02-27-0001","index.php?strPageID=SF01_02_01&newsID=2016-02-27-0001","index.php?strPageID=SF01_02_02&newsID=2016-02-27-0001_photo"
"12",2016-03-02,"2016-03-02-0001","index.php?strPageID=SF01_02_01&newsID=2016-03-02-0001","index.php?strPageID=SF01_02_02&newsID=2016-03-02-0001_photo"
"13",2016-03-04,"2016-03-04-0016","index.php?strPageID=SF01_02_01&newsID=2016-03-04-0016","index.php?strPageID=SF01_02_02&newsID=2016-03-04-0016_photo"
"14",2016-03-09,"2016-03-09-0018","index.php?strPageID=SF01_02_01&newsID=2016-03-09-0018","index.php?strPageID=SF01_02_02&newsID=2016-03-09-0018_photo"
"15",2016-03-11,"2016-03-11-0018","index.php?strPageID=SF01_02_01&newsID=2016-03-11-0018","index.php?strPageID=SF01_02_02&newsID=2016-03-11-0018_photo"
"16",2016-03-11,"2016-03-11-0017","index.php?strPageID=SF01_02_01&newsID=2016-03-11-0017","index.php?strPageID=SF01_02_02&newsID=2016-03-11-0017_photo"
"17",2016-03-15,"2016-03-15-0035","index.php?strPageID=SF01_02_01&newsID=2016-03-15-0035","index.php?strPageID=SF01_02_02&newsID=2016-03-15-0035_photo"
"18",2016-03-18,"2016-03-18-0001","index.php?strPageID=SF01_02_01&newsID=2016-03-18-0001","index.php?strPageID=SF01_02_02&newsID=2016-03-18-0001_photo"
"19",2016-03-21,"2016-03-21-0001","index.php?strPageID=SF01_02_01&newsID=2016-03-21-0001","index.php?strPageID=SF01_02_02&newsID=2016-03-21-0001_photo"
"20",2016-03-22,"2016-03-22-0002","index.php?strPageID=SF01_02_01&newsID=2016-03-22-0002","index.php?strPageID=SF01_02_02&newsID=2016-03-22-0002_photo"
"21",2016-03-22,"2016-03-22-0001","index.php?strPageID=SF01_02_01&newsID=2016-03-22-0001","index.php?strPageID=SF01_02_02&newsID=2016-03-22-0001_photo"
"22",2016-03-24,"2016-03-24-0001","index.php?strPageID=SF01_02_01&newsID=2016-03-24-0001","index.php?strPageID=SF01_02_02&newsID=2016-03-24-0001_photo"
"23",2016-03-24,"2016-03-24-0002","index.php?strPageID=SF01_02_01&newsID=2016-03-24-0002","index.php?strPageID=SF01_02_02&newsID=2016-03-24-0002_photo"
"24",2016-03-25,"2016-03-25-0001","index.php?strPageID=SF01_02_01&newsID=2016-03-25-0001","index.php?strPageID=SF01_02_02&newsID=2016-03-25-0001_photo"
"25",2016-03-28,"2016-03-28-0001","index.php?strPageID=SF01_02_01&newsID=2016-03-28-0001","index.php?strPageID=SF01_02_02&newsID=2016-03-28-0001_photo"
"26",2016-04-01,"2016-04-01-0001","index.php?strPageID=SF01_02_01&newsID=2016-04-01-0001","index.php?strPageID=SF01_02_02&newsID=2016-04-01-0001_photo"
"27",2016-04-02,"2016-04-02-0020","index.php?strPageID=SF01_02_01&newsID=2016-04-02-0020","index.php?strPageID=SF01_02_02&newsID=2016-04-02-0020_photo"
"28",2016-04-02,"2016-04-02-0019","index.php?strPageID=SF01_02_01&newsID=2016-04-02-0019","index.php?strPageID=SF01_02_02&newsID=2016-04-02-0019_photo"
"29",2016-04-08,"2016-04-08-0020","index.php?strPageID=SF01_02_01&newsID=2016-04-08-0020","index.php?strPageID=SF01_02_02&newsID=2016-04-08-0020_photo"
"30",2016-04-09,"2016-04-09-0001","index.php?strPageID=SF01_02_01&newsID=2016-04-09-0001","index.php?strPageID=SF01_02_02&newsID=2016-04-09-0001_photo"
"31",2016-04-15,"2016-04-15-0034","index.php?strPageID=SF01_02_01&newsID=2016-04-15-0034","index.php?strPageID=SF01_02_02&newsID=2016-04-15-0034_photo"
"32",2016-04-19,"2016-04-19-0001","index.php?strPageID=SF01_02_01&newsID=2016-04-19-0001","index.php?strPageID=SF01_02_02&newsID=2016-04-19-0001_photo"
"33",2016-04-23,"2016-04-23-0001","index.php?strPageID=SF01_02_01&newsID=2016-04-23-0001","index.php?strPageID=SF01_02_02&newsID=2016-04-23-0001_photo"
