id,loc_clean,loc_geo
1,Paektusan Institute of Architecture,"Pyongyang, North Korea"
2,Missile Test Site,?
3,Mangyongdae Revolutionary School,"Pyongyang, North Korea"
4,Army Headquarters,?
5,People's Theater,"Pyongyang, North Korea"
6,Samchon Catfish Farm,"South Hwanghae, North Korea"
8,Kumsusan Palace of Sun,"Pyongyang, North Korea"
9,Missile Test Site,?
10,Kangdong Precision Machine Plant,"Kangdong, Pyongyang, North Korea"
11,Pyongyang Orphans' Primary School,"Pyongyang, North Korea"
12,Army Base,?
13,Ryomyong Street ,"Pyongyang, North Korea"
14,Bier of Kang Ki Sop,?
15,Army Base,?
16,Army Base,?
17,Kumsanpho Fish Pickling Factory and Kumsanpho Fishery Station,"Kumsanpo, North Korea"
18,Ryugyong Kimchi Factory,?
19,Pyongyang Kim Jong Suk Silk Mill,"Pyongyang, North Korea"
20,Pyongyang Bag Factory,"Pyongyang, North Korea"
22,Kumsusan Palace of Sun,"Pyongyang, North Korea"
32,Army Base,?
33,Army Air Base,?
34,Masik Pass Ski Resort,"Wonsan, Kangwon, North Korea"
37,KPA Fishery Station,?
38,Wonsan Army-People Power Station,"Wonsan, Kangwon, North Korea"
39,Army Base,?
42,Wonsan Shoes Factory,"Wonsan, Kangwon, North Korea"
43,December 6 Children's Camp,"Kangwon, North Korea"
44,Army Air Base,?
45,Army Base,?
46,Cuban Embassy,"Pyongyang, North Korea"
47,Various Fields of Samjiyon County,"Samjiyon, Ryanggang, North Korea"
48,Army Base,?
49,Army Headquarters,?
51,August 25 Fishery Station of KPA,?
53,Army Base,?
54,Fishery Stations of KPA,?
55,Islet Defense Detachment,"Kalli-do, North Korea"
56,Islet Defense Detachment,"Mahap-to, North Korea"
57,Army Base,?
58,Army Base,?
60,Ryongaksan Soap Factory,"Pyongyang, North Korea"
62,Ryugyong General Ophthalmic Hospital,"Pyongyang, North Korea"
63,Mangyongdae Revolutionary Site Souvenir Factory,"Pyongyang, North Korea"
65,Ryongaksan Spring Water Factory,"Pyongyang, North Korea"
66,Taedonggang Syringe Factory,"Pyongyang, North Korea"
68,Sohae Satellite Launching Station,"North Pyongan, North Korea"
69,Kosan Combined Fruit Farm,"Kosan, Kangwon, North Korea"
70,Medical Oxygen Factory,"Pyongyang, North Korea"
71,Farm No. 1116,?
72,Missile Test Site,?
78,Missile Test Site,?
79,Taedonggang Combined Fruit Farm,"Pyongyang, North Korea"
80,Taedonggang Pig Farm,"Pyongyang, North Korea"
81,Sunchon Chemical Complex,"Sunchon, South Pyongan, North Korea"
82,January 18 General Machine Plant,"South Pyongan, North Korea"
84,April 25 House of Culture,"Pyongyang, North Korea"
85,Combined Fishing-tackle Factory of KPA,?
86,Chollima Building Materials Complex,"Pyongyang, North Korea"
87,Fish Food Factory under KPA Unit,?
88,Missile Test Site,?
89,Army Base,?
90,Paektusan Institute of Architecture,"Pyongyang, North Korea"
91,Phyongsong Synthetic Leather Factory,"Pyongsong, South Pyongan, North Korea"
92,Kumsusan Palace of Sun,"Pyongyang, North Korea"
93,Pyongyang Terrapin Farm,"Pyongyang, North Korea"
94,Pyongyang Orphans' Secondary School,"Pyongyang, North Korea"
98,Missile Test Site,?
99,Kim Jong Suk Pyongyang Silk Mill,"Pyongyang, North Korea"
100,Pyongyang Cornstarch Factory,"Pyongyang, North Korea"
101,National Defence University,"Kanggye, Chagang, North Korea"
102,Ryugyong Pickle Factory,"Pyongyang, North Korea"
104,Mangyongdae Schoolchildren's Palace,"Pyongyang, North Korea"
105,Ryongaksan Soap Factory,"Pyongyang, North Korea"
106,Mangyongdae Children's Camp,"Pyongyang, North Korea"
107,Pyongyang Sports Apparatus Factory,"Pyongyang, North Korea"
108,Medical Oxygen Factory,"Pyongyang, North Korea"
109,Basketball Stadium,"Pyongyang, North Korea"
110,Ryugyong General Ophthalmic Hospital ,"Pyongyang, North Korea"
111,Kwisong Saltern,"Nampo, South Pyongan, North Korea"
112,Nature Museum and Central Zoo,"Pyongyang, North Korea"
113,Machine Plant,?
114,Tree Nursery No. 122,"Pyongyang, North Korea"
116,Machinery and Equipment Exhibition,?
127,Missile Test Site,?
128,Paektusan Hero Youth Power Station No. 3,?
129,Mindulle Notebook Factory,"Pyongyang, North Korea"
130,Kumsusan Palace of Sun,"Pyongyang, North Korea"
132,Missile Test Site,?
133,Machine Plant,?
134,Ryongsong Machine Complex,"Hamhung, South Hamgyong, North Korea"
135,Army Base,?
136,Sinhung Machine Plant,"Sinhung, South Hamgyong, North Korea"
137,Mirae Shop and Health Complex,"Pyongyang, North Korea"
138,Army Base,?
139,Ryongsong Machine Complex,"Hamhung, South Hamgyong, North Korea"
140,Missile Test Site,?
141,"October 3 Factory, KPA Navy",?
142,Missile Test Site,?
143,Army Base,?
144,Ryomyong Street,"Pyongyang, North Korea"
145,Missile Test Site,?
146,Missile Test Site,?
147,Army Base,?
148,Missile Test Site,?
149,Missile Test Site,?
150,Thaesong Machine Factory,"Nampo, South Pyongan, North Korea"
152,Army Base,?
153,Army Base,?
154,Army Base,?
155,Army Air Base,?
158,Kumsusan Palace of Sun,"Pyongyang, North Korea"
163,Kim Jong Suk Pyongyang Textile Mill,"Pyongyang, North Korea"
164,Kumkop General Foodstuff Factory for Sportspersons,"Pyongyang, North Korea"
165,Youth Movement Museum,"Pyongyang, North Korea"
168,Ministry of People's Armed Forces,"Pyongyang, North Korea"
170,Army Base,?
173,Kumsusan Palace of Sun,"Pyongyang, North Korea"
